symbol,price,amount,side,updated,sequence
BTC_USDT,78347.8,0.00632,Buy,2026-09-08 06:40:25.169000+00:00,33173591041
BTC_USDT,78340.3,0.00597,Buy,2026-09-08 06:40:29.600000+00:00,33173604488
BTC_USDT,78341.0,0.00469,Buy,2026-09-08 06:40:31.816000+00:00,33173611134
BTC_USDT,78340.3,0.00484,Buy,2026-09-08 06:40:34.093000+00:00,33173618140
BTC_USDT,78348.8,0.00566,Buy,2026-09-08 06:40:38.473000+00:00,33173631304
BTC_USDT,78353.3,0.00617,Buy,2026-09-08 06:40:40.681000+00:00,33173638122
BTC_USDT,78352.5,0.00128,Sell,2026-09-08 06:40:40.779000+00:00,33173638373
BTC_USDT,78354.0,0.00581,Buy,2026-09-08 06:40:42.856000+00:00,33173644703
BTC_USDT,78353.1,0.00464,Buy,2026-09-08 06:40:45.035000+00:00,33173651162
BTC_USDT,78352.7,0.00540,Buy,2026-09-08 06:40:47.284000+00:00,33173657523
BTC_USDT,78354.0,0.00510,Buy,2026-09-08 06:40:51.727000+00:00,33173671140
BTC_USDT,78356.8,0.00566,Buy,2026-09-08 06:40:56.219000+00:00,33173684728
BTC_USDT,78356.8,0.00128,Buy,2026-09-08 06:40:57.606000+00:00,33173688647
BTC_USDT,78358,0.00016,Buy,2026-09-08 06:40:58.112000+00:00,33173690389
BTC_USDT,78360.0,0.00459,Buy,2026-09-08 06:40:58.442000+00:00,33173691645
BTC_USDT,78361.9,0.00505,Buy,2026-09-08 06:41:00.843000+00:00,33173698876
BTC_USDT,78353.5,0.004,Buy,2026-09-08 06:41:06.023000+00:00,33173714507
BTC_USDT,78353.3,0.00494,Buy,2026-09-08 06:41:07.914000+00:00,33173720220
BTC_USDT,78351.9,0.00627,Buy,2026-09-08 06:41:10.106000+00:00,33173727485
BTC_USDT,78340.3,0.00002,Sell,2026-09-08 06:41:14.623000+00:00,33173741919
BTC_USDT,78337.3,0.00500,Sell,2026-09-08 06:41:16.940000+00:00,33173748654
BTC_USDT,78339.0,0.00025,Buy,2026-09-08 06:41:18.476000+00:00,33173753792
BTC_USDT,78352.1,0.00535,Buy,2026-09-08 06:41:21.500000+00:00,33173763275
BTC_USDT,78355.7,0.00597,Sell,2026-09-08 06:41:25.954000+00:00,33173776969
BTC_USDT,78356.8,0.00017,Buy,2026-09-08 06:41:28.203000+00:00,33173783521
BTC_USDT,78349.2,0.00449,Sell,2026-09-08 06:41:34.725000+00:00,33173803746
BTC_USDT,78349.1,0.00002,Sell,2026-09-08 06:41:35.681000+00:00,33173806382
BTC_USDT,78354.6,0.00556,Buy,2026-09-08 06:41:36.997000+00:00,33173810318
BTC_USDT,78354.6,0.00454,Buy,2026-09-08 06:41:39.250000+00:00,33173816846
BTC_USDT,78354.6,0.00474,Buy,2026-09-08 06:41:43.583000+00:00,33173830718
BTC_USDT,78354.6,0.00551,Buy,2026-09-08 06:41:45.757000+00:00,33173837527
BTC_USDT,78354.1,0.00001,Sell,2026-09-08 06:41:47.765000+00:00,33173843516
BTC_USDT,78355.7,0.00571,Sell,2026-09-08 06:41:48.046000+00:00,33173844408
BTC_USDT,78357.0,0.00002,Buy,2026-09-08 06:41:49.710000+00:00,33173849549
BTC_USDT,78358.9,0.00438,Sell,2026-09-08 06:41:54.525000+00:00,33173864909
BTC_USDT,78355.4,0.00044,Sell,2026-09-08 06:41:59.115000+00:00,33173878913
BTC_USDT,78354.6,0.00532,Buy,2026-09-08 06:41:59.127000+00:00,33173878950
BTC_USDT,78355.9,0.00102,Buy,2026-09-08 06:41:59.359000+00:00,33173879647
BTC_USDT,78354.6,0.00433,Buy,2026-09-08 06:42:05.937000+00:00,33173899647
